,Electronic,Experimental,Folk,Hip-Hop,Instrumental,International,Pop,Rock
0,0.08819267153739929,0.14955739676952362,0.2287207990884781,0.06373807787895203,0.14609690010547638,0.11336246132850647,0.14753860235214233,0.0627930611371994
1,0.06181899458169937,0.21383795142173767,0.21184508502483368,0.01928861252963543,0.2733646333217621,0.054023031145334244,0.11179327219724655,0.05402837693691254
2,0.08289360255002975,0.1353824883699417,0.20992141962051392,0.0618445910513401,0.14277267456054688,0.12468604743480682,0.15243156254291534,0.09006757289171219
3,0.10507400333881378,0.12009020149707794,0.11757310479879379,0.08710169792175293,0.08715914934873581,0.13912203907966614,0.18556274473667145,0.15831705927848816
4,0.07661499083042145,0.19006189703941345,0.18963225185871124,0.025032000616192818,0.20600494742393494,0.09578084200620651,0.14376124739646912,0.07311180233955383
5,0.08130477368831635,0.18807806074619293,0.1410473883152008,0.03238029405474663,0.1553521752357483,0.08531902730464935,0.18499711155891418,0.13152112066745758
6,0.03990788385272026,0.2766219675540924,0.17891673743724823,0.00700550340116024,0.26023364067077637,0.06083385646343231,0.10492454469203949,0.07155586034059525
7,0.07775729149580002,0.16810685396194458,0.1888122260570526,0.038259126245975494,0.1620778739452362,0.10474318265914917,0.168533056974411,0.09171033650636673
8,0.0566517598927021,0.1834644377231598,0.10706064105033875,0.022030454128980637,0.12875820696353912,0.11151884496212006,0.1559268683195114,0.2345888465642929
9,0.09003883600234985,0.2010306715965271,0.17760446667671204,0.02379906363785267,0.1991906464099884,0.08558914810419083,0.15281173586845398,0.06993536651134491
10,0.13706912100315094,0.1429774910211563,0.18220356106758118,0.0643308088183403,0.1579105406999588,0.07395924627780914,0.17154356837272644,0.07000569254159927
11,0.05139591917395592,0.15609242022037506,0.07860948145389557,0.023491818457841873,0.09196075797080994,0.11803729087114334,0.1623353660106659,0.3180769383907318
12,0.08152642846107483,0.13462021946907043,0.08680462837219238,0.04826128110289574,0.08690875768661499,0.12025466561317444,0.18220461905002594,0.25941941142082214
13,0.062017954885959625,0.22328218817710876,0.10317389667034149,0.0145502220839262,0.1496400237083435,0.09482689201831818,0.1631634384393692,0.1893453449010849
14,0.06902076303958893,0.13990752398967743,0.06797416508197784,0.03226383775472641,0.08740956336259842,0.11152923107147217,0.1752040684223175,0.3166908323764801
15,0.06239130720496178,0.16667906939983368,0.07424405962228775,0.023250630125403404,0.10093623399734497,0.10642454028129578,0.16569624841213226,0.30037790536880493
16,0.043557580560445786,0.17932114005088806,0.06553515046834946,0.014227691106498241,0.09419213980436325,0.10471415519714355,0.160644069314003,0.3378080129623413
17,0.08012483268976212,0.16794070601463318,0.10113032907247543,0.032531701028347015,0.11510299891233444,0.11346843838691711,0.18371011316776276,0.20599092543125153
18,0.040008194744586945,0.2245846837759018,0.10993783175945282,0.010152270086109638,0.13463693857192993,0.10544204711914062,0.14962831139564514,0.2256096750497818
19,0.06873264908790588,0.17281843721866608,0.07708437740802765,0.02334597334265709,0.10601403564214706,0.11505847424268723,0.17729537189006805,0.25965067744255066
20,0.04339204356074333,0.1458989381790161,0.05416338890790939,0.019063569605350494,0.07640913873910904,0.10426855832338333,0.15925440192222595,0.39754995703697205
21,0.027599317952990532,0.3695838749408722,0.12384683638811111,0.0024830808397382498,0.2879240810871124,0.05048001930117607,0.07578056305646896,0.06230219453573227
22,0.024073617532849312,0.23735398054122925,0.23458199203014374,0.006928532384335995,0.3773110508918762,0.04104161262512207,0.05219295993447304,0.026516271755099297
23,0.021064518019557,0.25020670890808105,0.21038058400154114,0.005258915014564991,0.41579410433769226,0.03451518714427948,0.040218789130449295,0.022561222314834595
24,0.06973525136709213,0.1469430774450302,0.22155746817588806,0.04937486723065376,0.14129738509655,0.144789457321167,0.14904440939426422,0.07725804299116135
25,0.05582286790013313,0.2588435113430023,0.16392654180526733,0.01024214830249548,0.2683258652687073,0.05520247295498848,0.11904991418123245,0.06858666986227036
26,0.08469174802303314,0.14655271172523499,0.14933350682258606,0.046627651900053024,0.12492291629314423,0.13183720409870148,0.17814022302627563,0.13789401948451996
27,0.06992439180612564,0.1911403238773346,0.18087001144886017,0.028885677456855774,0.1783808022737503,0.10124240070581436,0.14594464004039764,0.10361180454492569
28,0.07284064590930939,0.14072269201278687,0.07449271529912949,0.0373561829328537,0.08737362921237946,0.11666702479124069,0.1825910210609436,0.28795602917671204
29,0.0774109810590744,0.16572964191436768,0.09732190519571304,0.031198028475046158,0.11395809799432755,0.10069384425878525,0.18726657330989838,0.22642099857330322
30,0.05600772798061371,0.20338793098926544,0.1535434126853943,0.019902391359210014,0.1612783521413803,0.10697048902511597,0.15739117562770844,0.1415185183286667
31,0.0501827709376812,0.19579707086086273,0.09274277091026306,0.015275878831744194,0.11980176717042923,0.10640624165534973,0.16521181166172028,0.25458166003227234
32,0.05035405606031418,0.14926770329475403,0.060837991535663605,0.01946255937218666,0.08220810443162918,0.09842533618211746,0.158527672290802,0.3809165358543396
33,0.07692413032054901,0.19834759831428528,0.19118192791938782,0.024380650371313095,0.20182082056999207,0.09646185487508774,0.14474929869174957,0.0661337748169899
