track_id,split,2,3,4,5,8,9,10,12,13,14,15,17,20,21,38,1235
2,training,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,training,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5,training,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
10,training,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
134,training,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
136,training,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
139,training,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
140,training,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
141,training,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
148,validation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
181,test,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
182,test,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
190,training,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
193,training,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
194,training,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
197,training,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
198,training,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
200,training,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
203,training,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
204,training,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
207,training,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
208,training,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
209,training,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
210,training,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
211,training,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
212,training,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
213,training,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
237,training,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
247,training,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
249,training,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
255,training,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
256,training,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
257,training,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
258,training,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
341,training,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
343,training,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
352,training,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
368,training,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
369,training,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
397,training,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
398,training,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
399,training,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
400,training,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
405,training,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
414,training,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
424,training,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
425,training,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
458,validation,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
459,validation,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
